File below(listA) below(listI) below(treeA) below(treeI) below(regexA) below(regexI) below(treeOA) below(treeOI) below(regexOA) below(regexOI) above(listA) above(listI) above(treeA) above(treeI) above(regexA) above(regexI) above(treeOA) above(treeOI) above(regexOA) above(regexOI)
set_3_sites_10_iterations_10_result.csv 10 10 10 10 10 10 10 10 10 10 0 0 0 0 0 0 0 0 0 0
set_3_sites_10_iterations_100_result.csv 100 100 100 19 100 100 100 15 100 100 0 0 0 0 0 0 0 0 0 0
set_3_sites_10_iterations_1000_result.csv 1000 995 999 0 982 911 999 237 1000 1000 0 2 1 783 18 89 1 1 0 0
set_3_sites_20_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 10 10 10 10 10 10 10
set_3_sites_20_iterations_100_result.csv 100 100 100 0 100 98 100 0 100 100 0 0 0 2 0 2 0 0 0 0
set_3_sites_20_iterations_1000_result.csv 1000 980 1000 998 1000 1000 1000 995 1000 995 0 19 0 2 0 0 0 5 0 5
set_3_sites_30_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 0 10 10 10 10 10 10
set_3_sites_30_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 100 100 100 100 1 100 100
set_3_sites_30_iterations_1000_result.csv 1000 1000 1000 999 1000 1000 1000 1000 1000 1000 0 0 0 0 0 0 0 0 0 0
set_3_sites_100_iterations_10_result.csv 1 1 0 0 0 5 10 10 0 2 9 9 10 0 10 5 0 0 10 8
set_3_sites_100_iterations_100_result.csv 0 30 96 97 0 59 0 0 0 91 100 70 4 0 100 35 100 14 100 8
set_3_sites_100_iterations_1000_result.csv 0 0 0 0 0 0 0 0 0 933 1000 1000 1000 142 1000 1000 1000 146 1000 67
set_4_sites_1_iterations_10_result.csv 9 9 10 10 9 9 0 0 10 10 1 1 0 0 0 0 2 2 0 0
set_4_sites_1_iterations_100_result.csv 18 18 91 91 99 99 90 0 99 99 82 82 9 1 1 1 10 10 1 1
set_4_sites_1_iterations_1000_result.csv 202 202 0 0 996 996 0 0 997 997 798 798 85 85 4 4 94 94 3 2
set_4_sites_2_iterations_10_result.csv 0 0 0 3 0 0 0 3 0 0 10 10 7 1 10 10 7 0 10 10
set_4_sites_2_iterations_100_result.csv 100 100 100 100 100 100 100 100 100 100 0 0 0 0 0 0 0 0 0 0
set_4_sites_2_iterations_1000_result.csv 192 192 0 0 657 657 740 0 0 0 808 766 1000 1000 343 343 260 260 1000 1000
set_4_sites_3_iterations_10_result.csv 0 0 3 0 0 0 4 0 0 0 10 10 7 1 10 10 6 0 10 10
set_4_sites_3_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 1 100 100 100 0 100 100
set_4_sites_3_iterations_1000_result.csv 714 714 999 999 904 904 999 999 1000 999 286 286 1 1 96 96 0 0 0 1
set_4_sites_5_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 1 10 10 10 0 10 10
set_4_sites_5_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 1 100 100 100 0 100 100
set_4_sites_5_iterations_1000_result.csv 0 0 0 0 0 0 0 0 0 0 1000 1000 1000 1 1000 1000 1000 4 1000 1000
set_4_sites_10_iterations_10_result.csv 0 0 0 10 0 0 0 0 0 0 10 10 10 0 10 10 10 10 10 10
set_4_sites_10_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 100 100 100 100 100 100 100
set_4_sites_10_iterations_1000_result.csv 0 0 0 0 0 0 0 0 0 0 1000 1000 1000 1000 1000 1000 1000 9 1000 1000
set_4_sites_20_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 10 10 10 10 10 10 10
set_4_sites_20_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 1 100 100 100 0 100 100
set_4_sites_20_iterations_1000_result.csv 0 0 0 492 0 387 0 496 0 0 1000 1000 1000 18 1000 601 1000 9 1000 1000
set_4_sites_30_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 10 10 10 10 10 10 10
set_4_sites_30_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 2 100 100 100 47 100 100
set_4_sites_30_iterations_1000_result.csv 0 0 0 960 0 0 0 0 0 0 1000 1000 1000 15 1000 1000 1000 23 1000 1000
set_4_sites_100_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 10 10 10 10 10 10 10
set_4_sites_100_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 100 100 100 100 100 100 100
set_4_sites_100_iterations_1000_result.csv 0 0 0 0 0 0 0 0 0 0 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
set_5_sites_1_iterations_10_result.csv 10 10 10 9 10 10 10 10 10 10 0 0 0 1 0 0 0 0 0 0
set_5_sites_1_iterations_100_result.csv 100 100 100 99 100 100 100 100 100 100 0 0 0 1 0 0 0 0 0 0
